# addr, size, enable addr
0x088024,4,
0x088038,2,
0x088044,20,
0x08809c,2,
0x0880ac,13,
0x088180,1,
0x0881e0,1,
0x0881ec,2,
0x0881f8,1,
0x088280,1,
0x08828c,3,
0x088300,2,
0x088340,2,
0x088380,2,
0x0883a0,1,
0x0883b0,1,
0x0883c0,1,
0x088404,5,
0x088424,7,
0x088474,3,
0x088498,2,
0x0884e0,4,
0x088504,5,
0x088524,7,
0x088574,3,
0x088598,2,
0x0885e0,4,
0x088604,5,
0x088624,7,
0x088674,3,
0x088698,2,
0x0886e0,4,
0x088708,4,
0x088780,7,
0x0887c4,7,
0x088810,9,
0x088840,1,
0x088900,64,
0x088b00,3,
0x088b10,3,
0x088b20,8,
0x088b80,1,
0x088b90,4,
0x088c00,8,
0x088c80,18,
0x088d00,16,
0x088d80,16,
0x088e90,4,
0x088eb0,4,
0x089000,3,
0x089ffc,129,
0x08c000,2,
0x08c010,10,
0x08c040,2,
0x08c084,4,
0x08c100,1,
0x08c10c,3,
0x0f0000,2,
0x0f0010,2,
0x0f001c,18,
0x0f006c,15,
0x0f00b8,4,
0x0f00e0,2,
0x0f0134,2,
0x0f0140,2,
0x0f0150,6,
0x0f0180,5,
0x0f01a0,3,
0x0f01c0,6,
0x0f01e0,6,
0x0f0200,11,
0x0f0240,1,
0x0f02c0,2,
0x0f0500,3,
0x0f0520,1,
0x0f0540,2,
0x0f0554,5,
0x0f0580,5,
0x0f05a0,3,
0x0f05b0,2,
0x0f0800,4,
0x0f0820,1,
0x0f0830,2,
0x0f0840,1,
0x0f1000,3,
0x0f1200,2,
0x0f1400,256,
0x0f3000,17,
0x0f3048,10,
0x0f3078,11,
0x0f30b0,30,
0x0f3130,4,
0x0f3170,4,
0x0f3184,13,
0x0f31bc,1,
0x0f3204,1,
0x0f3210,4,
0x0f3240,16,
0x0f3284,6,
0x0f32b0,20,
0x0f3304,5,
0x0f3328,1,
0x0f3330,3,
0x0f3400,9,
0x0f3430,6,
0x0f344c,3,
0x0f3480,9,
0x0f34b0,6,
0x0f34cc,3,
0x0f3800,17,
0x0f3848,14,
0x0f396c,9,
0x0f399c,5,
0x0f39e8,78,
0x0f3b38,6,
0x0f3b60,1,
0x0f3b6c,3,
0x0f3b80,29,
0x0f3c00,6,
0x0f3c1c,2,
0x0f3c30,7,
0x0f3c60,8,
0x0f3cf8,1,
0x0f3d00,3,
0x0f3d80,10,
0x0f3dc0,10,
0x0f3e00,1,
0x0f3e10,4,
0x0f3e24,3,
0x0f3e34,4,
0x0f3e60,6,
0x0f3e84,3,
0x0f5000,4,
0x0f5020,4,
0x0f50a0,1,
0x0f5100,1,
0x0f510c,3,
0x0f5200,1,
0x0f5240,1,
0x0f5284,2,
0x0f52c0,1,
0x0f5300,4,
0x0f5340,4,
0x0f5380,4,
0x0f53c0,4,
0x0f5800,10,
0x0f5900,1,
0x0f5910,16,
0x0f5a00,1,
0x0f5a40,1,
0x0f5a50,2,
0x0f5a60,1,
0x0f5a80,1,
0x0f5a90,2,
0x0f5aa0,1,
0x0f5ab0,2,
0x0f5ac0,1,
0x0f5ad0,2,
0x0f5ae0,1,
0x0f5af0,2,
0x0f5b04,3,
0x0f5b18,6,
0x0f5b6c,5,
0x0f5bc0,81,
0x0f5d08,1,
0x0f5d10,1,
