#Addr, Size, Enable addr
0x000400,28,
0x000480,27,
0x000500,5,
0x000518,2,
0x000800,28,
0x000880,27,
0x000900,5,
0x000918,2,
0x000c00,28,
0x000c80,27,
0x000d00,5,
0x000d18,2,
0x001000,28,
0x001080,27,
0x001100,5,
0x001118,2,
0x001400,28,
0x001480,27,
0x001500,5,
0x001518,2,
0x001800,28,
0x001880,27,
0x001900,5,
0x001918,2,
0x001c00,28,
0x001c80,27,
0x001d00,5,
0x001d18,2,
0x002000,28,
0x002080,27,
0x002100,5,
0x002118,2,
0x002400,28,
0x002480,27,
0x002500,5,
0x002518,2,
0x002800,28,
0x002880,27,
0x002900,5,
0x002918,2,
0x002c00,28,
0x002c80,27,
0x002d00,5,
0x002d18,2,
0x003000,28,
0x003080,27,
0x003100,5,
0x003118,2,
0x003400,28,
0x003480,27,
0x003500,5,
0x003518,2,
0x003800,28,
0x003880,27,
0x003900,5,
0x003918,2,
0x003c00,28,
0x003c80,27,
0x003d00,5,
0x003d18,2,
0x004000,28,
0x004080,27,
0x004100,5,
0x004118,2,
0x004400,28,
0x004480,27,
0x004500,5,
0x004518,2,
0x004800,28,
0x004880,27,
0x004900,5,
0x004918,2,
0x004c00,28,
0x004c80,27,
0x004d00,5,
0x004d18,2,
0x005000,28,
0x005080,27,
0x005100,5,
0x005118,2,
0x005400,28,
0x005480,27,
0x005500,5,
0x005518,2,
0x005800,28,
0x005880,27,
0x005900,5,
0x005918,2,
0x005c00,28,
0x005c80,27,
0x005d00,5,
0x005d18,2,
0x006000,28,
0x006080,27,
0x006100,5,
0x006118,2,
0x006400,28,
0x006480,27,
0x006500,5,
0x006518,2,
0x006800,28,
0x006880,27,
0x006900,5,
0x006918,2,
0x006c00,28,
0x006c80,27,
0x006d00,5,
0x006d18,2,
0x007000,28,
0x007080,27,
0x007100,5,
0x007118,2,
0x007400,28,
0x007480,27,
0x007500,5,
0x007518,2,
0x007800,28,
0x007880,27,
0x007900,5,
0x007918,2,
0x007c00,28,
0x007c80,27,
0x007d00,5,
0x007d18,2,
0x008000,28,
0x008080,27,
0x008100,5,
0x008118,2,
0x008400,28,
0x008480,27,
0x008500,5,
0x008518,2,
0x008800,28,
0x008880,27,
0x008900,5,
0x008918,2,
0x008c00,28,
0x008c80,27,
0x008d00,5,
0x008d18,2,
0x009000,28,
0x009080,27,
0x009100,5,
0x009118,2,
0x009400,28,
0x009480,27,
0x009500,5,
0x009518,2,
0x009800,28,
0x009880,27,
0x009900,5,
0x009918,2,
0x009c00,28,
0x009c80,27,
0x009d00,5,
0x009d18,2,
0x00a000,28,
0x00a080,27,
0x00a100,5,
0x00a118,2,
0x00a400,28,
0x00a480,27,
0x00a500,5,
0x00a518,2,
0x00a800,28,
0x00a880,27,
0x00a900,5,
0x00a918,2,
0x00ac00,28,
0x00ac80,27,
0x00ad00,5,
0x00ad18,2,
0x00b000,28,
0x00b080,27,
0x00b100,5,
0x00b118,2,
0x00b400,28,
0x00b480,27,
0x00b500,5,
0x00b518,2,
0x00b800,28,
0x00b880,27,
0x00b900,5,
0x00b918,2,
0x00bc00,28,
0x00bc80,27,
0x00bd00,5,
0x00bd18,2,
0x00c000,28,
0x00c080,27,
0x00c100,5,
0x00c118,2,
0x00c400,28,
0x00c480,27,
0x00c500,5,
0x00c518,2,
0x00c800,28,
0x00c880,27,
0x00c900,5,
0x00c918,2,
0x00cc00,28,
0x00cc80,27,
0x00cd00,5,
0x00cd18,2,
0x00d000,28,
0x00d080,27,
0x00d100,5,
0x00d118,2,
0x00d400,28,
0x00d480,27,
0x00d500,5,
0x00d518,2,
0x00d800,28,
0x00d880,27,
0x00d900,5,
0x00d918,2,
0x00dc00,28,
0x00dc80,27,
0x00dd00,5,
0x00dd18,2,
0x00e000,28,
0x00e080,27,
0x00e100,5,
0x00e118,2,
0x00e400,28,
0x00e480,27,
0x00e500,5,
0x00e518,2,
0x00e800,28,
0x00e880,27,
0x00e900,5,
0x00e918,2,
0x00ec00,28,
0x00ec80,27,
0x00ed00,5,
0x00ed18,2,
0x00f000,28,
0x00f080,27,
0x00f100,5,
0x00f118,2,
0x00f400,28,
0x00f480,27,
0x00f500,5,
0x00f518,2,
0x00f800,28,
0x00f880,27,
0x00f900,5,
0x00f918,2,
0x00fc00,28,
0x00fc80,27,
0x00fd00,5,
0x00fd18,2,
0x010000,28,
0x010080,27,
0x010100,5,
0x010118,2,
0x010400,28,
0x010480,23,
0x010500,5,
0x010518,2,
0x010800,28,
0x010880,25,
0x010900,4,
0x010c00,28,
0x010c80,15,
0x010cc0,4,
0x011000,28,
0x011080,11,
0x0110c0,5,
0x0110d8,2,
0x011400,28,
0x011480,11,
0x0114c0,5,
0x0114d8,2,
0x011800,28,
0x011880,27,
0x011900,4,
0x011c00,28,
0x011c80,23,
0x011d00,4,
0x012000,28,
0x012080,23,
0x012100,4,
0x012400,28,
0x012480,23,
0x012500,4,
0x012800,28,
0x012880,23,
0x012900,4,
0x012c00,28,
0x012c80,19,
0x012d00,4,
0x013000,28,
0x013080,19,
0x013100,4,
0x040000,2244,
0x044000,2,
0x044040,9,
0x044080,8,
0x048000,2244,
0x04c000,28,
0x04c080,14,
0x04c0c0,23,
0x04c120,2,
0x04c130,8,
0x04c180,8,
0x04c1c0,28,
0x04c240,7,
0x04c400,28,
0x04c480,14,
0x04c4c0,23,
0x04c520,2,
0x04c530,8,
0x04c580,8,
0x04c5c0,28,
0x04c640,7,
0x04c800,28,
0x04c880,14,
0x04c8c0,23,
0x04c920,2,
0x04c930,8,
0x04c980,8,
0x04c9c0,28,
0x04ca40,7,
0x04cc00,7,
0x04cc20,7,
0x04cc40,7,
0x04cc60,7,
0x04cc80,7,
0x04cca0,7,
0x04ccc0,7,
0x04cce0,7,
0x04cd00,54,
0x04d000,22,
0x04d080,22,
0x04d100,22,
0x04d180,22,
0x04d200,22,
0x04d280,22,
0x04d300,22,
0x04d380,22,
0x04d400,134,
0x04d640,14,
0x04d680,4,
