# addr, size, enable addr
0x0f3300,2,
0x0f3310,2,
0x0f3484,4,
0x0f34c0,16,
0x0f3504,4,
0x0f3540,16,
0x0f3584,3,
0x0f3600,8,
0x0f3640,4,
0x0f3680,7,
0x0f3800,1,
0x0f380c,3,
0x0f3820,1,
0x0f382c,3,
0x0f3840,2,
0x0f3850,2,
0x0f5000,3,
0x0f5020,2,
0x0f50a0,2,
0x0f5100,1,
0x0f510c,3,
0x0f5200,1,
0x0f5240,1,
0x0f5284,2,
0x0f52c0,1,
0x0f5300,4,
0x0f5340,4,
0x0f5380,4,
0x0f53c0,4,
0x0f5800,7,
0x0f5900,1,
0x0f5910,16,
0x0f5a00,1,
0x0f5a40,1,
0x0f5a50,2,
0x0f5a60,1,
0x0f5a80,1,
0x0f5a90,2,
0x0f5aa0,1,
0x0f5ab0,2,
0x0f5ac0,1,
0x0f5ad0,2,
0x0f5ae0,1,
0x0f5af0,2,
0x0f5b04,3,
0x0f5b18,6,
0x0f5b6c,5,
0x0f5c00,65,
0x0f5d08,1,
0x0f5d10,1,
0x0f5d18,1,
0x0f5d20,1,
0x0f5d28,1,
0x0f5d30,1,
0x0f5d38,1,
0x0f5d40,1,
0x0f5d48,1,
0x0f5d50,1,
0x0f5d58,1,
0x0f5d60,1,
0x0f5d68,1,
0x0f5d70,1,
0x0f5d78,1,
0x0f5d80,1,
0x0f5d88,1,
0x0f5da0,1,
0x0f5db0,1,
0x0f5dc0,1,
0x0f5dd0,1,
0x0f5de0,1,
0x0f5df0,1,
0x0f5e00,1,
0x0f5e10,1,
0x0f5e20,1,
0x0f5e30,1,
0x0f5e40,1,
0x0f5e50,1,
0x0f5e60,1,
0x0f5e70,1,
0x0f5e80,1,
0x0f5e90,1,
0x0f5ea0,1,
0x0f5eb0,1,
0x0f5f00,1,
0x0f5f08,1,
0x0f5f10,1,
0x0f5f18,1,
0x0f5f20,1,
0x0f5f28,1,
0x0f5f30,1,
0x0f5f38,1,
0x0f5f40,1,
0x0f8000,7,
0x0f8024,1,
0x0f8070,7,
0x0f80a0,1,
0x0f80ac,9,
0x0f8180,1,
0x0f81e0,5,
0x0f81f8,1,
0x0f8230,2,
0x0f8240,2,
0x0f8300,3,
0x0f8314,4,
0x0f8340,5,
0x0f8380,1,
0x0f838c,3,
0x0f8400,10,
0x0f8440,10,
0x0f8480,10,
0x0f84c0,10,
0x0f8500,2,
0x0f8510,1,
0x0f8518,3,
0x0f8540,2,
0x0f8550,1,
0x0f8558,3,
0x0f8600,24,
0x0f8804,1,
0x0f880c,5,
0x0f8824,1,
0x0f8904,2,
0x0f8a04,8,
0x0f8a44,3,
0x0f8b00,3,
0x0f8b20,2,
0x0f8b40,1,
0x0f8b48,1,
0x0f8b50,4,
0x0f8c04,6,
0x0f8d04,5,
0x0f8e04,4,
0x0f8e80,5,
