#Addr, Size, Enable addr
0x040700,11,
0x040780,8,
0x0407c0,13,
0x040800,5,
0x040820,5,
0x041000,9,
0x041040,6,
0x041060,2,
0x041084,2,
0x041090,13,
0x0410c8,6,
0x041100,3,
0x041110,3,
0x041120,3,
0x041130,3,
0x041144,3,
0x041160,9,
0x0411c0,11,
0x041200,9,
0x041230,1,
0x041240,1,
0x041250,1,
0x042700,11,
0x042780,8,
0x0427c0,13,
0x042800,5,
0x042820,5,
0x043000,9,
0x043040,6,
0x043060,2,
0x043084,2,
0x043090,13,
0x0430c8,6,
0x043100,3,
0x043110,3,
0x043120,3,
0x043130,3,
0x043144,3,
0x043160,9,
0x0431c0,11,
0x043200,9,
0x043230,1,
0x043240,1,
0x043250,1,
0x044700,11,
0x044780,8,
0x0447c0,13,
0x044800,5,
0x044820,5,
0x045000,9,
0x045040,6,
0x045060,2,
0x045084,2,
0x045090,13,
0x0450c8,6,
0x045100,3,
0x045110,3,
0x045120,3,
0x045130,3,
0x045144,3,
0x045160,9,
0x0451c0,11,
0x045200,9,
0x045230,1,
0x045240,1,
0x045250,1,
0x046700,11,
0x046780,8,
0x0467c0,13,
0x046800,5,
0x046820,5,
0x047000,9,
0x047040,6,
0x047060,2,
0x047084,2,
0x047090,13,
0x0470c8,6,
0x047100,3,
0x047110,3,
0x047120,3,
0x047130,3,
0x047144,3,
0x047160,9,
0x0471c0,11,
0x047200,9,
0x047230,1,
0x047240,1,
0x047250,1,
0x048700,11,
0x048780,8,
0x0487c0,13,
0x048800,5,
0x048820,5,
0x049000,9,
0x049040,6,
0x049060,2,
0x049084,2,
0x049090,13,
0x0490c8,6,
0x049100,3,
0x049110,3,
0x049120,3,
0x049130,3,
0x049144,3,
0x049160,9,
0x0491c0,11,
0x049200,9,
0x049230,1,
0x049240,1,
0x049250,1,
0x04a700,11,
0x04a780,8,
0x04a7c0,13,
0x04a800,5,
0x04a820,5,
0x04b000,9,
0x04b040,6,
0x04b060,2,
0x04b084,2,
0x04b090,13,
0x04b0c8,6,
0x04b100,3,
0x04b110,3,
0x04b120,3,
0x04b130,3,
0x04b144,3,
0x04b160,9,
0x04b1c0,11,
0x04b200,9,
0x04b230,1,
0x04b240,1,
0x04b250,1,
0x04c700,11,
0x04c780,8,
0x04c7c0,13,
0x04c800,5,
0x04c820,5,
0x04d000,9,
0x04d040,6,
0x04d060,2,
0x04d084,2,
0x04d090,13,
0x04d0c8,6,
0x04d100,3,
0x04d110,3,
0x04d120,3,
0x04d130,3,
0x04d144,3,
0x04d160,9,
0x04d1c0,11,
0x04d200,9,
0x04d230,1,
0x04d240,1,
0x04d250,1,
0x04e700,11,
0x04e780,8,
0x04e7c0,13,
0x04e800,5,
0x04e820,5,
0x04f000,9,
0x04f040,6,
0x04f060,2,
0x04f084,2,
0x04f090,13,
0x04f0c8,6,
0x04f100,3,
0x04f110,3,
0x04f120,3,
0x04f130,3,
0x04f144,3,
0x04f160,9,
0x04f1c0,11,
0x04f200,9,
0x04f230,1,
0x04f240,1,
0x04f250,1,
0x050700,11,
0x050780,8,
0x0507c0,13,
0x050800,5,
0x050820,5,
0x051000,9,
0x051040,6,
0x051060,2,
0x051084,2,
0x051090,13,
0x0510c8,6,
0x051100,3,
0x051110,3,
0x051120,3,
0x051130,3,
0x051144,3,
0x051160,9,
0x0511c0,11,
0x051200,9,
0x051230,1,
0x051240,1,
0x051250,1,
