#Addr, Size, Enable addr
0x000000,4,
0x000020,1,
0x000030,3,
0x000040,1,
0x000080,1,
0x000088,7,
0x0000a8,10,
0x000200,14,
0x000240,2,
0x000260,17,
0x0002c0,2,
0x0002d0,2,
0x0002e0,4,
0x0002f4,4,
0x000308,6,
0x000324,2,
0x000340,1,
0x000400,3,
0x000410,5,
0x000428,3,
0x000438,3,
0x000448,3,
0x040000,1430,
0x042000,2,
0x042040,9,
0x042080,8,
0x044000,1430,
0x046000,30,
0x046080,7,
0x0460a0,30,
0x046120,2,
0x046130,8,
0x046200,30,
0x046280,7,
0x0462a0,30,
0x046320,2,
0x046330,8,
0x046400,7,
0x046420,43,
0x046800,22,
0x046880,79,
0x0469c0,2,
0x0469d0,9,
0x0469f8,8,
0x046a20,6,
0x046a40,3,
0x046a50,1,
0x046a58,7,
0x046c00,1,
0x046d00,5,
0x046d24,5,
0x046d44,1,
0x046d4c,3,
0x046d64,1,
0x046d6c,3,
0x046d80,1,
0x046e00,5,
0x046e24,5,
0x046e44,1,
0x046e4c,3,
0x046e64,1,
0x046e6c,3,
0x046e80,1,
0x046f00,11,
0x048000,1048,
0x04a000,19,
0x04a080,17,
0x04a100,6,
0x04a180,4,
0x04a1a0,1,
0x04a1b0,3,
0x04a1c0,1,
0x04a200,4,
0x04a220,1,
0x04a230,3,
0x04a240,1,
0x04b004,1,
0x04b02c,21,
0x04b084,1,
0x04b0ac,48,
0x04b180,11,
0x04b1c0,11,
0x04b200,11,
0x04b240,11,
0x04b280,3,
0x04b2c0,11,
0x04b300,11,
0x04b340,11,
0x04b380,11,
0x04b3c0,11,
0x04b400,11,
0x04b440,5,
0x04b458,11,
0x04b4c0,7,
0x04b4e0,1,
0x04b500,11,
0x04b540,11,
0x04b580,4,
0x04b5c0,7,
0x04b5e0,1,
0x04b600,11,
0x04b640,11,
0x04b680,1,
0x04b6c0,7,
0x04b6e0,1,
0x04b700,11,
0x04b740,11,
0x04b780,43,
0x04c000,27,
0x04c074,1,
0x04c080,64,
0x04c200,1,
0x04c208,7,
0x04c228,7,
0x04c248,7,
0x04c268,7,
0x04c288,7,
0x04c2a8,7,
0x04c2c8,10,
0x04c400,1,
0x04c408,7,
0x04c428,7,
0x04c448,7,
0x04c468,7,
0x04c488,7,
0x04c4a8,7,
0x04c4c8,7,
0x04c4e8,7,
0x04c508,7,
0x04c528,7,
0x04c548,7,
0x04c568,7,
0x04c588,6,
0x04c5a4,2,
0x04c5b0,4,
0x04c600,1,
0x04c608,7,
0x04c628,7,
0x04c648,7,
0x04c668,7,
0x04c688,7,
0x04c6a8,6,
0x04c6c4,7,
0x04c700,1,
0x04c708,7,
0x04c728,7,
0x04c748,7,
0x04c770,4,
0x04d000,3,
0x04d010,3,
0x04d020,3,
0x04d030,3,
0x04d040,3,
0x04d050,3,
0x04d060,3,
0x04d070,3,
0x04d080,3,
0x04d090,3,
0x04d0a0,3,
0x04d0b0,3,
0x04d0c0,3,
0x04d0d0,3,
0x04d0e0,3,
0x04d0f0,3,
0x04d100,3,
0x04d110,3,
0x04d120,3,
0x04d130,3,
0x04d140,3,
0x04d150,3,
0x04d160,3,
0x04d170,3,
0x04d180,3,
0x04d190,3,
0x04d1a0,3,
0x04d1b0,3,
0x04d1c0,3,
0x04d1d0,3,
0x04d1e0,3,
0x04d1f0,3,
0x04d200,10,
0x04d400,1,
0x04d40c,4,
0x04d420,3,
