#Addr, Size, Enable addr
0x000400,19,
0x000480,26,
0x000500,4,
0x000800,19,
0x000880,26,
0x000900,4,
0x000c00,19,
0x000c80,26,
0x000d00,4,
0x001000,19,
0x001080,26,
0x001100,4,
0x001400,19,
0x001480,26,
0x001500,4,
0x001800,19,
0x001880,26,
0x001900,4,
0x001c00,19,
0x001c80,26,
0x001d00,4,
0x002000,19,
0x002080,26,
0x002100,4,
0x002400,19,
0x002480,26,
0x002500,4,
0x002800,19,
0x002880,26,
0x002900,4,
0x002c00,19,
0x002c80,26,
0x002d00,4,
0x003000,19,
0x003080,26,
0x003100,4,
0x003400,19,
0x003480,26,
0x003500,4,
0x003800,19,
0x003880,26,
0x003900,4,
0x003c00,19,
0x003c80,26,
0x003d00,4,
0x004000,19,
0x004080,26,
0x004100,4,
0x004400,19,
0x004480,14,
0x004500,4,
0x004800,19,
0x004880,16,
0x004900,4,
0x004c00,19,
0x004c80,10,
0x004d00,4,
0x005000,19,
0x005080,18,
0x005100,4,
0x005400,19,
0x005480,14,
0x005500,4,
0x005800,19,
0x005880,12,
0x005900,4,
0x005c00,19,
0x005c80,8,
0x005d00,4,
0x010800,3,
0x010814,10,
0x010840,11,
0x010870,35,
0x010900,8,
0x010924,5,
0x010980,2,
0x01098c,2,
0x0109a0,2,
0x0109c0,1,
0x010a00,12,
0x010a34,22,
0x010ac0,7,
0x010b00,8,
0x010b24,5,
0x010b80,2,
0x010b8c,2,
0x010ba0,2,
0x010bc0,1,
0x010c00,12,
0x010c40,12,
0x010c80,12,
0x010cc0,12,
0x010d00,12,
0x010d40,12,
0x010d80,12,
0x010dc0,12,
0x010e00,1,
0x010e08,13,
0x010e40,12,
0x010e80,3,
0x010f00,7,
0x010f44,8,
0x010f80,6,
0x010fa0,2,
0x011000,9,
0x011040,9,
0x011080,9,
0x0110c0,9,
0x011100,1,
0x011108,5,
0x011120,2,
0x011200,8,
0x011240,4,
0x011260,8,
0x011300,8,
0x011330,2,
0x011340,7,
0x011380,3,
0x011390,3,
0x0113a0,3,
0x0113b0,3,
0x0113c0,5,
0x011400,69,
0x011600,4,
0x011640,13,
0x011680,7,
0x0116a0,5,
0x0116c0,1,
0x012000,25,
0x012080,1,
0x012088,8,
0x0120c0,6,
0x0120e0,1,
0x0120e8,2,
0x012104,7,
0x012200,11,
0x012240,1,
0x012248,1,
0x012400,4,
0x013000,35,
0x014000,8,
0x014024,2,
0x014040,2,
0x014060,6,
0x014080,1,
0x0140f0,12,
0x014124,2,
0x014140,2,
0x014160,6,
0x014180,1,
0x0141f0,12,
0x014224,2,
0x014240,2,
0x014260,6,
0x014280,1,
0x0142f0,12,
0x014324,2,
0x014340,2,
0x014360,6,
0x014380,1,
0x0143f0,4,
0x014410,4,
0x0145f8,2,
0x015004,1,
0x015040,16,
0x015204,3,
0x015214,1,
0x01521c,1,
0x015224,1,
0x01522c,1,
0x015400,3,
0x015420,8,
0x015500,40,
0x0155a4,2,
0x0155b0,3,
0x015600,37,
0x015700,17,
0x015748,2,
0x015780,16,
0x015800,25,
0x015880,1,
0x015888,8,
0x0158c0,6,
0x0158e0,1,
0x0158e8,2,
0x015904,26,
0x015a00,4,
0x015b00,61,
0x015c00,4,
0x015c40,12,
0x015c80,5,
0x015ca0,1,
0x015cb0,1,
0x016000,3,
0x016010,3,
0x016020,3,
0x016030,3,
0x016040,3,
0x016050,3,
0x016060,3,
0x016070,3,
0x016080,8,
0x0160c4,1,
0x0160d0,4,
0x016100,1,
0x016184,12,
0x0162c0,1,
0x0162c8,10,
0x018000,1,
0x018008,3,
0x018018,3,
0x018030,7,
0x018070,2,
0x018200,3,
0x018210,3,
0x018220,3,
0x018230,3,
0x018240,2,
0x018260,2,
0x01826c,1,
0x018280,28,
0x0182f4,8,
0x018320,27,
0x0183dc,43,
0x018490,3,
0x0184a0,2,
0x0184b0,3,
0x0184c0,2,
0x0184d0,3,
0x0184e0,2,
0x0184f0,3,
0x018500,2,
0x018510,3,
0x018520,2,
0x018530,3,
0x018540,2,
0x018550,3,
0x018560,2,
0x018570,3,
0x018580,64,
0x018780,18,
0x0187d0,4,
0x018800,13,
0x018880,1,
0x018888,8,
0x0188c0,6,
0x0188e0,1,
0x0188e8,2,
0x018904,43,
0x018a00,4,
0x018a14,1,
0x018a1c,1,
0x018a24,1,
0x018a2c,1,
0x018a34,1,
0x018a3c,7,
0x018a60,6,
0x018a80,36,
0x018b40,15,
0x018b80,4,
0x018bc0,11,
0x018c00,9,
0x018c40,9,
0x018c80,9,
0x018cc0,9,
0x018d00,16,
0x018d54,1,
0x018d5c,1,
0x018d64,1,
0x018d6c,1,
0x018d80,26,
0x018e00,26,
0x018e80,26,
0x018f00,26,
0x01a000,1,
0x01a00c,4,
0x01a020,4,
0x01a038,3,
0x01a0a8,38,
0x01a180,64,
0x01a2c0,8,
0x01a2f8,317,
0x01a804,1,
0x01a810,6,
0x01a884,1,
0x01a894,5,
0x01a904,1,
0x01a92c,21,
0x01aa04,1,
0x01aa0c,1,
0x01aa14,1,
0x01aa1c,1,
0x01aa24,1,
0x01aa2c,1,
0x01aa34,1,
0x01aa3c,13,
0x01aa78,8,
0x01ab04,5,
0x01ab44,3,
0x01ab54,1,
0x01ab60,3,
0x01ab70,5,
0x01ab88,5,
0x01abc0,4,
0x01b000,34,
0x01b100,13,
0x01b140,15,
0x01b180,40,
0x01b240,11,
0x01b280,11,
0x01b300,10,
0x01b380,4,
0x01b3c0,3,
0x01b3d0,6,
0x01b400,28,
0x01b480,27,
0x01b500,20,
0x01b580,19,
0x01c000,19,
0x01cc00,10,
0x01cc80,3,
0x020000,3,
0x020010,1,
0x020030,13,
0x02006c,4,
0x020100,40,
0x0201fc,4,
0x020210,1,
0x020230,13,
0x02026c,4,
0x020300,40,
0x0203fc,4,
0x020410,1,
0x020430,13,
0x02046c,4,
0x020500,40,
0x0205fc,4,
0x020610,1,
0x020630,13,
0x02066c,4,
0x020700,40,
0x0207fc,1,
0x0210e0,1,
0x022000,6,
0x02201c,12,
0x022080,1,
0x022088,1,
0x022090,2,
0x022100,1,
0x02210c,2,
0x02211c,2,
0x02212c,2,
0x02213c,1,
0x022180,2,
0x02218c,1,
0x022200,43,
0x022300,7,
0x022320,2,
0x02232c,1,
0x022380,10,
0x0223c0,1,
0x022400,109,
0x0225c0,5,
0x022600,109,
0x0227c0,5,
0x022800,3,
0x022814,16,
0x022874,1,
0x022880,3,
0x022894,16,
0x0228f4,1,
0x022900,3,
0x022914,16,
0x022974,1,
0x022980,3,
0x022994,16,
0x0229f4,1,
